CD_MUN,NM_MUN,CD_RGI,NM_RGI,CD_RGINT,NM_RGINT,CD_UF,NM_UF,SIGLA_UF,CD_REGIA,NM_REGIA,SIGLA_RG,CD_CONCU,NM_CONCU,AREA_KM2,N_LINHAS,Voltagem
4317558,Santo Antônio do Palma,430030,Marau,4306,Passo Fundo,43,Rio Grande do Sul,RS,4,Sul,S,,,126.094,1,525
4311429,Lajeado do Bugre,430034,Palmeira das Missões,4306,Passo Fundo,43,Rio Grande do Sul,RS,4,Sul,S,,,67.947,1,525
4318002,São Borja,430017,São Borja,4304,Uruguaiana,43,Rio Grande do Sul,RS,4,Sul,S,,,3616.674,4,230
4308607,Garibaldi,430037,Bento Gonçalves,4307,Caxias do Sul,43,Rio Grande do Sul,RS,4,Sul,S,4302105.0,Bento Gonçalves/RS,168.492,4,230
4308607,Garibaldi,430037,Bento Gonçalves,4307,Caxias do Sul,43,Rio Grande do Sul,RS,4,Sul,S,4302105.0,Bento Gonçalves/RS,168.492,4,525
4311403,Lajeado,430041,Lajeado,4308,Santa Cruz do Sul - Lajeado,43,Rio Grande do Sul,RS,4,Sul,S,4311403.0,Lajeado/RS,90.801,3,230
4318051,São Domingos do Sul,430030,Marau,4306,Passo Fundo,43,Rio Grande do Sul,RS,4,Sul,S,,,78.67,1,525
4313201,Nova Petrópolis,430036,Caxias do Sul,4307,Caxias do Sul,43,Rio Grande do Sul,RS,4,Sul,S,,,290.164,4,230
4313201,Nova Petrópolis,430036,Caxias do Sul,4307,Caxias do Sul,43,Rio Grande do Sul,RS,4,Sul,S,,,290.164,4,525
4320206,Seberi,430029,Frederico Westphalen,4306,Passo Fundo,43,Rio Grande do Sul,RS,4,Sul,S,,,301.032,1,230
4308656,Garruchos,430022,São Luiz Gonzaga,4305,Ijuí,43,Rio Grande do Sul,RS,4,Sul,S,,,803.97,4,500
4308656,Garruchos,430022,São Luiz Gonzaga,4305,Ijuí,43,Rio Grande do Sul,RS,4,Sul,S,,,803.97,4,525
4307708,Esteio,430001,Porto Alegre,4301,Porto Alegre,43,Rio Grande do Sul,RS,4,Sul,S,4314902.0,Porto Alegre/RS,27.676,1,230
4314506,Pinheiro Machado,430010,Bagé,4302,Pelotas,43,Rio Grande do Sul,RS,4,Sul,S,,,2249.176,6,230
4314506,Pinheiro Machado,430010,Bagé,4302,Pelotas,43,Rio Grande do Sul,RS,4,Sul,S,,,2249.176,6,525
4304507,Canguçu,430009,Pelotas,4302,Pelotas,43,Rio Grande do Sul,RS,4,Sul,S,,,3526.316,3,230
4304507,Canguçu,430009,Pelotas,4302,Pelotas,43,Rio Grande do Sul,RS,4,Sul,S,,,3526.316,3,525
4319356,São Pedro da Serra,430007,Montenegro,4301,Porto Alegre,43,Rio Grande do Sul,RS,4,Sul,S,,,37.631,1,525
4314548,Pinto Bandeira,430037,Bento Gonçalves,4307,Caxias do Sul,43,Rio Grande do Sul,RS,4,Sul,S,4302105.0,Bento Gonçalves/RS,104.801,5,230
4321501,Torres,430008,Torres,4301,Porto Alegre,43,Rio Grande do Sul,RS,4,Sul,S,,,161.63,2,230
4307302,Erval Seco,430029,Frederico Westphalen,4306,Passo Fundo,43,Rio Grande do Sul,RS,4,Sul,S,,,357.181,3,230
4315800,Roca Sales,430043,Encantado,4308,Santa Cruz do Sul - Lajeado,43,Rio Grande do Sul,RS,4,Sul,S,,,208.108,1,525
4309100,Gramado,430036,Caxias do Sul,4307,Caxias do Sul,43,Rio Grande do Sul,RS,4,Sul,S,,,239.341,1,230
