linha_transmissao,Tensao,concessionaria,Extensao,ano_operacao,extensao_km
"LT 525 kV Itá - Nova Santa Rita, C1",525,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,314.00195533,2006,2.64001273380414
"LT 525 kV Itá - Nova Santa Rita, C2",525,TSBE - Transmissora Sul Brasileira de Energia S A,307.36803103,2014,2.5456874284966
"LT 525 kV Candiota 2 - Guaíba 3, C2 (CD)",525,CHIMARRÃO - CHIMARRÃO TRANSMISSORA DE ENERGIA S.A.,273.81682265,2022,2.71031405810733
"LT 525 kV Candiota 2 - Guaíba 3, C1 (CD)",525,CHIMARRÃO - CHIMARRÃO TRANSMISSORA DE ENERGIA S.A.,273.74497212,2022,2.70959988064313
"LT 525 kV Campos Novos - Nova Santa Rita, C1",525,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,257.62975868,2009,2.3368698062012
"LT 525 kV Blumenau - Campos Novos, C1",525,ECTE - Empresa Catarinense de Transmissáo de Energia S.A.,252.46731653,2002,0.0307997399225478
"LT 525 kV Itá - Caxias Norte, C1",525,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,247.10510754,2024,2.00741789177381
"LT 525 kV Guaíba 3 - Povo Novo, C1",525,CGT ELETROSUL - COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D,236.84308065,2023,2.20868612653346
"LT 525 kV Guaíba 3 - Povo Novo, C2",525,CHIMARRÃO - CHIMARRÃO TRANSMISSORA DE ENERGIA S.A.,236.68973704,2021,2.21181966359618
"LT 525 kV Santo Angelo - Itá, C2",525,CIEN - Companhia de Interconexão Energética,236.43796766,2015,1.60372590498398
"LT 525 kV Abdon Batista - Biguaçu, C1",525,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,234.80869839,2015,2.23374827590812
"LT 525 kV Guaíba 3 - Povo Novo, C3",525,LAGOA DOS PATOS - NEOENERGIA LAGOA DOS PATOS TRANSMISSÃO DE ENERGIA S.A.,234.41264102,2023,2.18643359673217
"LT 525 kV Santo Angelo - Itá, C1",525,CIEN - Companhia de Interconexão Energética,222.42066678,2000,1.55167392125374
"LT 525 kV Abdon Batista - Siderópolis 2, C2 (CD)",525,EDP ALIANCA - EDP TRANSMISSAO ALIANCA SC S.A.,209.31796548,2022,2.05062016492904
"LT 525 kV Abdon Batista - Siderópolis 2, C1 (CD)",525,EDP ALIANCA - EDP TRANSMISSAO ALIANCA SC S.A.,209.27606248,2022,2.05019101349902
"LT 525 kV Campos Novos - Caxias Norte, C1",525,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,185.67770467,2024,1.69676331541132
"LT 525 kV Areia - Campos Novos, C1",525,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,176.2854807,0,0.0140380599894292
"LT 525 kV Marmeleiro 2 - Povo Novo, C2",525,CHIMARRÃO - CHIMARRÃO TRANSMISSORA DE ENERGIA S.A.,152.33181252,2021,1.43095308288585
"LT 525 kV Marmeleiro 2 - Povo Novo, C1",525,TSLE - TRANSMISSORA SUL LITORÂNEA DE ENERGIA S.A.,152.06106013,2014,1.42757713350439
"LT 525 kV Biguaçu - Siderópolis 2, C1",525,EDP ALIANCA - EDP TRANSMISSAO ALIANCA SC S.A.,151.45909049,2021,1.28791701805903
"LT 525 kV Capivari do Sul - Guaíba 3, C1",525,,147.91377753,2024,1.46129396951568
"LT 525 kV Garabi II - Santo Angelo, C1",525,CIEN - Companhia de Interconexão Energética,138.33228314,2015,1.39778050739918
"LT 525 kV Garabi I - Santo Angelo, C1",525,CIEN - Companhia de Interconexão Energética,132.32686896,2000,1.34761835764456
LT 525 kV Candiota - Melo C1,525,ELETROBRAS - Centrais Elétricas Brasileiras S/A,124.68853732,2016,1.19470852135569
"LT 525 kV Itá - Machadinho, C1",525,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,79.09811706,2002,0.00184519861401544
