Município,Quantidade_Linhas
Gravataí,25
Nova Santa Rita,24
Canoas,21
Caxias do Sul,20
Porto Alegre,19
Triunfo,17
Eldorado do Sul,16
Farroupilha,15
Candiota,14
Cachoeirinha,12
Santo Ângelo,12
Charqueadas,11
Montenegro,11
Guaíba,10
Veranópolis,10
Sant'Ana do Livramento,9
Rio Grande,9
Camaquã,9
Osório,8
Alegrete,8
Alvorada,8
Mariana Pimentel,8
Itaqui,8
Venâncio Aires,7
Pelotas,7
Bento Gonçalves,7
Novo Hamburgo,7
Nova Prata,6
Passo Fundo,6
Casca,6
Santa Maria,6
Pinhal Grande,6
Pinheiro Machado,6
Campo Bom,6
São Luiz Gonzaga,6
Capão do Leão,6
Santa Cruz do Sul,6
Uruguaiana,6
Glorinha,6
Viamão,6
Estrela Velha,6
Cristal,6
Santo Antônio da Patrulha,6
São Leopoldo,6
Portão,5
Piratini,5
Pinto Bandeira,5
Sertão,5
Sertão Santana,5
Flores da Cunha,5
Vila Flores,5
Fagundes Varela,5
Vale Real,5
Salto do Jacuí,5
São Lourenço do Sul,5
Taquari,5
Pinhal da Serra,4
Passo do Sobrado,4
Barão do Triunfo,4
Turuçu,4
Vera Cruz,4
Alto Feliz,4
Garibaldi,4
Garruchos,4
Feliz,4
Giruá,4
Quatro Irmãos,4
Lagoa Vermelha,4
Nova Petrópolis,4
Nova Roma do Sul,4
Mato Castelhano,4
Nova Palma,4
Dois Irmãos,4
Coxilha,4
Agudo,4
Candelária,4
Santa Vitória do Palmar,4
Cerro Grande do Sul,4
São Borja,4
Vitória das Missões,3
Xangri-lá,3
Água Santa,3
Taquara,3
Vista Alegre do Prata,3
Caibaté,3
Bossoroca,3
Sobradinho,3
Serafina Corrêa,3
Sapucaia do Sul,3
Santo Antônio das Missões,3
Rosário do Sul,3
Presidente Lucena,3
Capão Bonito do Sul,3
Santa Rosa,3
Capela de Santana,3
Capivari do Sul,3
Canguçu,3
Campinas do Sul,3
Encruzilhada do Sul,3
Maçambará,3
Nova Bassano,3
Entre Rios do Sul,3
Passa Sete,3
Cruzaltense,3
Erval Seco,3
Marau,3
Ivoti,3
Jaboticaba,3
Jacuizinho,3
Jacutinga,3
Lajeado,3
Liberato Salzano,3
Linha Nova,3
General Câmara,3
Vila Maria,3
Hulha Negra,3
Ibarama,3
Vale do Sol,3
Vale Verde,3
Bagé,3
Arroio do Tigre,3
Amaral Ferrador,3
Antônio Prado,2
Arroio dos Ratos,2
Barracão,2
Barra do Ribeiro,2
Barros Cassal,2
Gramado Xavier,2
