Municipio,Estado,Num_Linhas,Voltagens
Abdon Batista,SC,2,"230, 525"
Abelardo Luz,SC,1,525
Adrianópolis,PR,1,500
Agrolândia,SC,2,"230, 525"
Agronômica,SC,1,230
Agudo,RS,1,230
Agudos do Sul,PR,1,525
Alegria,RS,1,230
Almirante Tamandaré,PR,2,"230, 500"
Alpestre,RS,1,230
Altamira do Paraná,PR,3,"230, 525, 600"
Alto Alegre,RS,1,230
Alto Bela Vista,SC,1,525
Alto Feliz,RS,2,"230, 525"
Alto Piquiri,PR,1,230
Ametista do Sul,RS,1,230
Anahy,PR,1,765
Angelina,SC,2,"230, 525"
Anita Garibaldi,SC,2,"230, 525"
Antonina,PR,1,230
Antônio Carlos,SC,2,"230, 525"
Antônio Prado,RS,1,525
Apiúna,SC,1,230
Arapoti,PR,2,"230, 600"
Arapuã,PR,1,765
Araquari,SC,1,230
Aratiba,RS,1,525
Araucária,PR,2,"230, 525"
Ariranha do Ivaí,PR,2,"525, 765"
Armazém,SC,1,230
Arroio do Tigre,RS,1,230
Arvoredo,SC,2,"230, 525"
Ascurra,SC,1,230
Balneário Barra do Sul,SC,1,230
Balsa Nova,PR,2,"230, 525"
Barbosa Ferraz,PR,1,600
Barra do Rio Azul,RS,1,525
Barracão,RS,1,525
Barros Cassal,RS,1,230
Barão,RS,1,525
Barão de Cotegipe,RS,1,525
Benedito Novo,SC,1,525
Benjamin Constant do Sul,RS,1,230
Bento Gonçalves,RS,2,"230, 525"
Biguaçu,SC,2,"230, 525"
Bituruna,PR,2,"230, 525"
Blumenau,SC,2,"230, 525"
Boa Esperança do Iguaçu,PR,2,"230, 525"
Boa Ventura de São Roque,PR,1,525
Boa Vista das Missões,RS,1,525
Boa Vista do Cadeado,RS,1,230
Boa Vista do Incra,RS,1,230
Boa Vista do Sul,RS,2,"230, 525"
Bocaiúva do Sul,PR,1,230
Bom Jardim da Serra,SC,1,525
Bom Jesus,SC,2,"230, 525"
Bom Princípio,RS,1,525
Boqueirão do Leão,RS,1,230
Braga,RS,1,230
Braganey,PR,3,"525, 600, 765"
Braço do Norte,SC,1,525
Braço do Trombudo,SC,1,230
Brochier,RS,1,525
Brunópolis,SC,1,525
Brusque,SC,2,"230, 525"
Cafelândia,PR,3,"230, 600, 765"
Caibaté,RS,2,"230, 525"
Cambará do Sul,RS,1,230
Camboriú,SC,1,525
Campestre da Serra,RS,1,525
Campina Grande do Sul,PR,1,230
Campina da Lagoa,PR,2,"230, 765"
Campina do Simão,PR,1,525
Campinas do Sul,RS,1,230
Campo Alegre,SC,1,525
Campo Belo do Sul,SC,2,"230, 525"
Campo Bonito,PR,2,"525, 600"
Campo Largo,PR,3,"230, 500, 525"
Campo Magro,PR,2,"230, 500"
Campo Mourão,PR,1,230
Campo Novo,RS,1,230
Campos Borges,RS,1,230
Campos Novos,SC,2,"230, 525"
Candelária,RS,1,230
Canelinha,SC,1,525
Canoinhas,SC,1,230
Capanema,PR,1,230
Capinzal,SC,1,525
Capitão Leônidas Marques,PR,2,"230, 525"
Capivari de Baixo,SC,1,230
Capão Alto,SC,1,525
Capão Bonito do Sul,RS,2,"230, 525"
Carambeí,PR,1,230
Carlos Barbosa,RS,1,525
Casca,RS,2,"230, 525"
Cascavel,PR,4,"230, 525, 600, 765"
Caseiros,RS,1,230
Castro,PR,1,230
