Municipio,Estado,Num_Linhas,Voltagens
Foz do Iguaçu,PR,5,"230, 500, 525, 600, 765"
São Miguel do Iguaçu,PR,4,"230, 525, 600, 765"
Santa Terezinha de Itaipu,PR,4,"230, 525, 600, 765"
Nova Cantu,PR,4,"230, 525, 600, 765"
Cascavel,PR,4,"230, 525, 600, 765"
Medianeira,PR,4,"230, 525, 600, 765"
Manoel Ribas,PR,3,"525, 600, 765"
Campo Largo,PR,3,"230, 500, 525"
Cafelândia,PR,3,"230, 600, 765"
Ortigueira,PR,3,"230, 600, 765"
Nova Tebas,PR,3,"525, 600, 765"
Ramilândia,PR,3,"525, 600, 765"
Santa Tereza do Oeste,PR,3,"230, 525, 600"
Altamira do Paraná,PR,3,"230, 525, 600"
Guaraniaçu,PR,3,"230, 525, 600"
Missal,PR,3,"525, 600, 765"
Braganey,PR,3,"525, 600, 765"
Céu Azul,PR,3,"230, 525, 600"
Diamante D'Oeste,PR,3,"525, 600, 765"
Mangueirinha,PR,3,"230, 500, 525"
Mamborê,PR,3,"230, 600, 765"
Reserva do Iguaçu,PR,3,"230, 500, 525"
Roncador,PR,3,"525, 600, 765"
Matelândia,PR,3,"230, 525, 600"
Telêmaco Borba,PR,3,"230, 600, 765"
Toledo,PR,3,"525, 600, 765"
Vera Cruz do Oeste,PR,2,"600, 765"
Urussanga,SC,2,"230, 525"
Araucária,PR,2,"230, 525"
Veranópolis,RS,2,"230, 525"
Abdon Batista,SC,2,"230, 525"
Ventania,PR,2,"230, 600"
Tupãssi,PR,2,"600, 765"
Arvoredo,SC,2,"230, 525"
Ubiratã,PR,2,"600, 765"
Águas Mornas,SC,2,"230, 525"
São José do Cerrito,SC,2,"230, 525"
São José dos Pinhais,PR,2,"230, 525"
São João,PR,2,"230, 525"
São João Batista,SC,2,"230, 525"
São João do Triunfo,PR,2,"230, 525"
São Martinho,RS,2,"230, 525"
São Mateus do Sul,PR,2,"230, 525"
São Pedro do Iguaçu,PR,2,"600, 765"
Bituruna,PR,2,"230, 525"
